[(0.139, 1.728),
(0.19, -0.764),
(0.065, 3.035),
(0.075, 2.987),
(0.181, 0.566),
(0.189, -2.431),
(0.092, -2.184),
(0.047, 1.142),
(0.279, -1.001),
(0.074, 1.856),
(0.099, 2.234),
(0.126, -0.246),
(0.217, -2.531),
(0.084, -1.34),
(0.074, 0.936),
(0.182, -1.687),
(0.029, -2.667),
(0.127, -2.412),
(0.214, -0.569),
(0.123, -2.423),
(0.124, -2.086),
(0.029, 0.439),
(0.28, -1.489),
(0.109, -0.613),
(0.116, 2.774),
(0.076, -1.591),
(0.304, -2.365),
(0.426, -1.999),
(0.274, -0.323),
(0.453, -0.997),
(0.096, -2.387),
(0.259, 1.924),
(0.425, -1.189),
(0.383, -2.807),
(0.072, 1.611),
(0.515, -1.415),
(0.845, -2.304),
(0.473, -0.635),
(0.709, -0.59),
(0.376, 0.933),
(0.914, 1.081),
(0.708, -1.884),
(1.394, -2.555),
(1.62, 1.733),
(4.5, 0.835),
(0.702, -0.064),
(10.238, -2.983),
(11.308, 2.563),
(13.57, 0.659),
(24.371, 0.381),
(23.422, 1.276),
(50.227, 1.035),
(35.574, 2.494),
(16.095, 0.29),
(9.972, 2.39),
(4.103, 1.961),
(2.585, -1.571),
(0.719, -2.957),
(2.574, 0.613),
(1.655, 0.785),
(1.966, 1.847),
(1.138, 1.778),
(0.595, -3.139),
(0.217, 1.761),
(0.447, 1.15),
(0.334, 1.955),
(0.393, 1.413),
(0.023, -2.749),
(0.205, 1.085),
(0.371, 1.58),
(0.135, 1.329),
(0.19, 1.995),
(0.082, 3.078),
(0.294, 0.778),
(0.072, 1.816),
(0.186, 2.614),
(0.256, 2.033),
(0.305, -1.18),
(0.028, -1.179),
(0.175, 1.266),
(0.266, 0.297),
(0.219, 2.968),
(0.068, 2.113),
(0.119, 1.029),
(0.17, -1.682),
(0.054, 1.973),
(0.074, 2.991),
(0.214, -0.362),
(0.02, 2.98),
(0.031, 1.222,)
(0.183, 1.227),
(0.182, -2.073),
(0.023, -1.583),
(0.058, 1.967),
(0.205, -0.302),
(0.095, 2.612),
(0.1, -2.772),
(0.12, 0.618),
(0.176, -1.707),
(0.04, -0.271),
(0.139, 1.728)]
